track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,rank,time_range,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
5kukZPbylK4zbZ5xrL1mfV,LETTERMAN,"Tommy Richman, Paco",track,spotify:track:5kukZPbylK4zbZ5xrL1mfV,https://api.spotify.com/v1/tracks/5kukZPbylK4zbZ5xrL1mfV,https://open.spotify.com/track/5kukZPbylK4zbZ5xrL1mfV,160000,,True,8,13,long_term,1,spotify_id,4b8fd8ea-95e7-4c38-9b99-9333b5f22ae3,https://open.spotify.com/track/5kukZPbylK4zbZ5xrL1mfV,USC4R2446573,0.624,0.74,0.398,0.0,7.0,0.134,-6.714,0.0,0.302,179.931,0.853
08vlprFBmwh9TQnjXUtZDG,FAMJAM4000,Jordan Ward,track,spotify:track:08vlprFBmwh9TQnjXUtZDG,https://api.spotify.com/v1/tracks/08vlprFBmwh9TQnjXUtZDG,https://open.spotify.com/track/08vlprFBmwh9TQnjXUtZDG,158133,,False,3,14,long_term,1,spotify_id,5ebb6a5f-5662-4dce-b76c-e943ebf02aef,https://open.spotify.com/track/08vlprFBmwh9TQnjXUtZDG,USUM72300085,0.434,0.871,0.57,0.452,6.0,0.145,-7.421,0.0,0.0676,116.563,0.711
6w7eHZFNdOpg2teEBCqjy2,on & on - Sammy Virji Remix,"piri & tommy, Sammy Virji, Tommy Villiers",track,spotify:track:6w7eHZFNdOpg2teEBCqjy2,https://api.spotify.com/v1/tracks/6w7eHZFNdOpg2teEBCqjy2,https://open.spotify.com/track/6w7eHZFNdOpg2teEBCqjy2,131958,,False,1,15,long_term,1,spotify_id,220f7015-29ae-41cc-9ca9-1bf2fb3a32a3,https://open.spotify.com/track/6w7eHZFNdOpg2teEBCqjy2,GBUM72206333,0.165,0.833,0.765,0.00723,11.0,0.0957,-3.792,0.0,0.051,127.947,0.797
4AZk9awBXJRVaLS7gOsaMO,Talk Down,Dijon,track,spotify:track:4AZk9awBXJRVaLS7gOsaMO,https://api.spotify.com/v1/tracks/4AZk9awBXJRVaLS7gOsaMO,https://open.spotify.com/track/4AZk9awBXJRVaLS7gOsaMO,151565,,False,9,16,long_term,1,spotify_id,dc1cd2a4-a1c6-4e44-b66b-226cc3002033,https://open.spotify.com/track/4AZk9awBXJRVaLS7gOsaMO,USWB12104065,0.182,0.752,0.823,0.0,1.0,0.213,-6.267,1.0,0.139,112.888,0.709
5LyKocU0lhUBlXrFKDxbBO,Snap My Finger (feat. PinkPantheress),"KAYTRANADA, PinkPantheress",track,spotify:track:5LyKocU0lhUBlXrFKDxbBO,https://api.spotify.com/v1/tracks/5LyKocU0lhUBlXrFKDxbBO,https://open.spotify.com/track/5LyKocU0lhUBlXrFKDxbBO,201371,,True,2,17,long_term,1,spotify_id,026d7b9e-c338-4987-9f58-2a3e8aaff060,https://open.spotify.com/track/5LyKocU0lhUBlXrFKDxbBO,USRC12401536,0.016,0.772,0.639,0.00975,5.0,0.431,-7.876,0.0,0.0455,117.99,0.497
2FeaWWfbpM70QgZQnScloz,Availability,Ethel,track,spotify:track:2FeaWWfbpM70QgZQnScloz,https://api.spotify.com/v1/tracks/2FeaWWfbpM70QgZQnScloz,https://open.spotify.com/track/2FeaWWfbpM70QgZQnScloz,172000,,False,1,18,long_term,1,spotify_id,3be1f710-fcbc-4cdd-8552-726b64b3b6c2,https://open.spotify.com/track/2FeaWWfbpM70QgZQnScloz,QZR8K2441205,0.0912,0.927,0.412,2.77e-05,7.0,0.0969,-7.596,1.0,0.0413,105.988,0.709
2FdDv1zi70hiOBOAsQeaXf,Robot Lovers,Willow Kayne,track,spotify:track:2FdDv1zi70hiOBOAsQeaXf,https://api.spotify.com/v1/tracks/2FdDv1zi70hiOBOAsQeaXf,https://open.spotify.com/track/2FdDv1zi70hiOBOAsQeaXf,154406,,False,1,19,long_term,1,spotify_id,6833e121-2352-4dc5-9f3b-e985f2a7c1b1,https://open.spotify.com/track/2FdDv1zi70hiOBOAsQeaXf,QM6MZ2407912,0.132,0.672,0.645,4.69e-05,0.0,0.103,-7.127,1.0,0.0415,103.904,0.387
71DSaeKtXQaMAqnvMT7Uoc,Mona Lisa,Dominic Fike,track,spotify:track:71DSaeKtXQaMAqnvMT7Uoc,https://api.spotify.com/v1/tracks/71DSaeKtXQaMAqnvMT7Uoc,https://open.spotify.com/track/71DSaeKtXQaMAqnvMT7Uoc,186066,,False,7,20,long_term,1,spotify_id,4fe578f3-fdab-42a7-b395-1bbb20e2fd78,https://open.spotify.com/track/71DSaeKtXQaMAqnvMT7Uoc,USQX92303644,0.231,0.759,0.646,0.0,1.0,0.161,-7.603,1.0,0.12,111.043,0.445
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,track,spotify:track:6jlG8gBPNAgBgoivw2Ig09,https://api.spotify.com/v1/tracks/6jlG8gBPNAgBgoivw2Ig09,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09,130944,,True,1,21,long_term,1,spotify_id,8480b72a-d921-4ee8-9edb-836657c5d982,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09,USC4R2445163,0.174,0.904,0.452,0.0,9.0,0.115,-7.272,1.0,0.132,90.026,0.613
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells",track,spotify:track:0EWG5cpMUT0Jp0Pye9S0Ne,https://api.spotify.com/v1/tracks/0EWG5cpMUT0Jp0Pye9S0Ne,https://open.spotify.com/track/0EWG5cpMUT0Jp0Pye9S0Ne,180000,,False,1,22,long_term,1,spotify_id,441ddea4-3b91-4613-8bc7-5cbe9a89c8e1,https://open.spotify.com/track/0EWG5cpMUT0Jp0Pye9S0Ne,USA2P2463486,0.286,0.762,0.789,0.689,1.0,0.418,-6.261,0.0,0.0288,128.004,0.78
