track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,rank,time_range
6jlG8gBPNAgBgoivw2Ig09,DEVIL IS A LIE,Tommy Richman,track,spotify:track:6jlG8gBPNAgBgoivw2Ig09,https://api.spotify.com/v1/tracks/6jlG8gBPNAgBgoivw2Ig09,https://open.spotify.com/track/6jlG8gBPNAgBgoivw2Ig09,130944,,True,1,21,long_term
0EWG5cpMUT0Jp0Pye9S0Ne,24 (Turn It Up) (+6),"ANOTR, Kurtis Wells",track,spotify:track:0EWG5cpMUT0Jp0Pye9S0Ne,https://api.spotify.com/v1/tracks/0EWG5cpMUT0Jp0Pye9S0Ne,https://open.spotify.com/track/0EWG5cpMUT0Jp0Pye9S0Ne,180000,,False,1,22,long_term
5uRTAG2Fs6rQt41HwaIx53,Dadvocate,Childish Gambino,track,spotify:track:5uRTAG2Fs6rQt41HwaIx53,https://api.spotify.com/v1/tracks/5uRTAG2Fs6rQt41HwaIx53,https://open.spotify.com/track/5uRTAG2Fs6rQt41HwaIx53,160988,,False,15,23,long_term
2Nq4SFbvYYZa8AF7lD7CWU,Sexy to Someone,Clairo,track,spotify:track:2Nq4SFbvYYZa8AF7lD7CWU,https://api.spotify.com/v1/tracks/2Nq4SFbvYYZa8AF7lD7CWU,https://open.spotify.com/track/2Nq4SFbvYYZa8AF7lD7CWU,207795,,False,1,24,long_term
17kygxrx5eoU1EsHSr1dos,Los Santos,Current Blue,track,spotify:track:17kygxrx5eoU1EsHSr1dos,https://api.spotify.com/v1/tracks/17kygxrx5eoU1EsHSr1dos,https://open.spotify.com/track/17kygxrx5eoU1EsHSr1dos,137647,,True,1,25,long_term
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,track,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,https://api.spotify.com/v1/tracks/7yNf9YjeO5JXUE3JEBgnYc,https://open.spotify.com/track/7yNf9YjeO5JXUE3JEBgnYc,97960,,False,3,26,long_term
3awYmrxWHNBpmJ81YxSCAn,Colorado Kyle (Live),Arcy Drive,track,spotify:track:3awYmrxWHNBpmJ81YxSCAn,https://api.spotify.com/v1/tracks/3awYmrxWHNBpmJ81YxSCAn,https://open.spotify.com/track/3awYmrxWHNBpmJ81YxSCAn,213750,,False,4,27,long_term
2k9cIkCVD4zotzFL6xj6hg,"Player Two - From ""Don't Tell Mom The Babysitter's Dead""",Jordan Ward,track,spotify:track:2k9cIkCVD4zotzFL6xj6hg,https://api.spotify.com/v1/tracks/2k9cIkCVD4zotzFL6xj6hg,https://open.spotify.com/track/2k9cIkCVD4zotzFL6xj6hg,158057,,False,1,28,long_term
1Ad2HcIX9zBqoWRvxtpYGf,Candle Flame,"Jungle, Erick the Architect",track,spotify:track:1Ad2HcIX9zBqoWRvxtpYGf,https://api.spotify.com/v1/tracks/1Ad2HcIX9zBqoWRvxtpYGf,https://open.spotify.com/track/1Ad2HcIX9zBqoWRvxtpYGf,174020,,False,3,29,long_term
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN,track,spotify:track:24VNenhLzKDWDlQ5Qaznav,https://api.spotify.com/v1/tracks/24VNenhLzKDWDlQ5Qaznav,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,212213,,False,1,30,long_term
0zikWa6k06uycAkRB8CsXA,hi grace,Dominic Fike,track,spotify:track:0zikWa6k06uycAkRB8CsXA,https://api.spotify.com/v1/tracks/0zikWa6k06uycAkRB8CsXA,https://open.spotify.com/track/0zikWa6k06uycAkRB8CsXA,161608,,False,2,31,long_term
13HalBseZHAT19C6jWs1Ma,Probably Up,Lawrence,track,spotify:track:13HalBseZHAT19C6jWs1Ma,https://api.spotify.com/v1/tracks/13HalBseZHAT19C6jWs1Ma,https://open.spotify.com/track/13HalBseZHAT19C6jWs1Ma,254653,,False,9,32,long_term
4Q9ExJGFgL9Jd9kmYH3nXs,Miss possessive,Tate McRae,track,spotify:track:4Q9ExJGFgL9Jd9kmYH3nXs,https://api.spotify.com/v1/tracks/4Q9ExJGFgL9Jd9kmYH3nXs,https://open.spotify.com/track/4Q9ExJGFgL9Jd9kmYH3nXs,139098,,True,1,33,long_term
71p2ub5QJhJTzfvXbXaUXd,High No More,Hajaj,track,spotify:track:71p2ub5QJhJTzfvXbXaUXd,https://api.spotify.com/v1/tracks/71p2ub5QJhJTzfvXbXaUXd,https://open.spotify.com/track/71p2ub5QJhJTzfvXbXaUXd,198845,,False,1,34,long_term
46Y9vXsmtnYZdEwny4o1Dd,Medallion,Jenevieve,track,spotify:track:46Y9vXsmtnYZdEwny4o1Dd,https://api.spotify.com/v1/tracks/46Y9vXsmtnYZdEwny4o1Dd,https://open.spotify.com/track/46Y9vXsmtnYZdEwny4o1Dd,147133,,True,1,35,long_term
36GforftaCASOR8kBnhqN8,I Wasn’t There,"Kevin Abstract, DERBY",track,spotify:track:36GforftaCASOR8kBnhqN8,https://api.spotify.com/v1/tracks/36GforftaCASOR8kBnhqN8,https://open.spotify.com/track/36GforftaCASOR8kBnhqN8,127888,,False,11,36,long_term
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter,track,spotify:track:0je57Uq5eTk1wrPzn9sWbl,https://api.spotify.com/v1/tracks/0je57Uq5eTk1wrPzn9sWbl,https://open.spotify.com/track/0je57Uq5eTk1wrPzn9sWbl,145398,,False,8,37,long_term
0RLl3obXeC2HsCQcI1EglP,Sweet Serotonin,Amber Mark,track,spotify:track:0RLl3obXeC2HsCQcI1EglP,https://api.spotify.com/v1/tracks/0RLl3obXeC2HsCQcI1EglP,https://open.spotify.com/track/0RLl3obXeC2HsCQcI1EglP,181310,,False,3,38,long_term
5ubvP9oKmxLUVq506fgLhk,Stayin Alive,Bee Gees,track,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk,285373,,False,1,39,long_term
1Nk1kQx3HmUaobcAu9S26f,ACTIN UP,Tommy Richman,track,spotify:track:1Nk1kQx3HmUaobcAu9S26f,https://api.spotify.com/v1/tracks/1Nk1kQx3HmUaobcAu9S26f,https://open.spotify.com/track/1Nk1kQx3HmUaobcAu9S26f,133768,,True,1,40,long_term
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike,track,spotify:track:6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/tracks/6WTFHKrnZpwEBLRS10Ylqs,https://open.spotify.com/track/6WTFHKrnZpwEBLRS10Ylqs,74378,,False,6,41,long_term
3orJAvBLWveT5ruftD5KoP,More to Love,Elle Eliades,track,spotify:track:3orJAvBLWveT5ruftD5KoP,https://api.spotify.com/v1/tracks/3orJAvBLWveT5ruftD5KoP,https://open.spotify.com/track/3orJAvBLWveT5ruftD5KoP,184125,,False,1,42,long_term
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,track,spotify:track:2uvE4L5ZsYKpv8hbK4TIOt,https://api.spotify.com/v1/tracks/2uvE4L5ZsYKpv8hbK4TIOt,https://open.spotify.com/track/2uvE4L5ZsYKpv8hbK4TIOt,192933,,True,11,43,long_term
2nFDM7uMOdPGPz37FluIob,Superficial,Lawrence,track,spotify:track:2nFDM7uMOdPGPz37FluIob,https://api.spotify.com/v1/tracks/2nFDM7uMOdPGPz37FluIob,https://open.spotify.com/track/2nFDM7uMOdPGPz37FluIob,248026,,True,11,44,long_term
5lSszsPqufMetObXX3zCQU,In a Trance,Malcolm Todd,track,spotify:track:5lSszsPqufMetObXX3zCQU,https://api.spotify.com/v1/tracks/5lSszsPqufMetObXX3zCQU,https://open.spotify.com/track/5lSszsPqufMetObXX3zCQU,83368,,False,6,45,long_term
45J4avUb9Ni0bnETYaYFVJ,luther (with sza),"Kendrick Lamar, SZA",track,spotify:track:45J4avUb9Ni0bnETYaYFVJ,https://api.spotify.com/v1/tracks/45J4avUb9Ni0bnETYaYFVJ,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,177598,,False,3,46,long_term
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,track,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,https://api.spotify.com/v1/tracks/0w5Bdu51Ka25Pf3hojsKHh,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,182693,,False,1,47,long_term
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"Kanye West, Syleena Johnson",track,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9,223506,,True,4,48,long_term
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,track,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,269000,,False,7,49,long_term
3qdskG3Sc6E2OddOfyBUpt,Spooky - Quinten 909 Radio Mix,"Dusty Springfield, Quinten 909",track,spotify:track:3qdskG3Sc6E2OddOfyBUpt,https://api.spotify.com/v1/tracks/3qdskG3Sc6E2OddOfyBUpt,https://open.spotify.com/track/3qdskG3Sc6E2OddOfyBUpt,162000,,False,2,50,long_term
