query_track_id,similarity_score,rank,recommended_track_id,recommended_track_name,recommended_artist_names,recommended_acousticness,recommended_danceability,recommended_energy,recommended_instrumentalness,recommended_key,recommended_liveness,recommended_loudness,recommended_mode,recommended_speechiness,recommended_tempo,recommended_valence,weather_cluster,weather_cluster_similarity,assigned_weather_label
2SWqVCbl51UX5xgDHvE1uT,0.965967638433811,1,3T26BJ8XxWaxyxs8oGt8eR,25 in Barcelona,JP Saxe,2.1912899682459885,-0.6146781683970594,-1.32227974102671,-0.3021062115124368,-1.46621481928201,-0.5335374695965044,-1.436293508065397,0.904768399337362,-0.6085644604989554,-1.247235122215601,0.0253584395168785,0,-0.3399477027864328,cloudy
2SWqVCbl51UX5xgDHvE1uT,0.9574825693880132,2,3M8FzayQWtkvOhqMn2V4T2,Lean on Me,Bill Withers,1.847530164653264,-0.3884160141830499,-2.069162355767169,-0.3081888475184229,-1.46621481928201,-0.4416581135045083,-1.9350585630610493,0.904768399337362,-0.5846932250315742,-1.4708052921193202,-0.5082726320748792,0,-0.3487553861732066,cloudy
2SWqVCbl51UX5xgDHvE1uT,0.9438102656725824,3,78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong",2.3317509632623707,-1.595147503324433,-2.701559314233542,-0.3082535853490921,-1.46621481928201,-0.0019497664928126,-2.936030589993981,0.904768399337362,-0.31574397209908,-1.4250250004051892,-0.6471034799686696,0,-0.2372381373666545,cloudy
2SWqVCbl51UX5xgDHvE1uT,0.9413853120749804,4,1u42hFacJ1Bs8H9GX2O8z3,Any Major Dude Will Tell You,Steely Dan,2.03973994730726,-0.0044559949107913,-1.033339751382591,-0.3079070475496275,-0.9141521763440228,-0.6391987291022999,-2.37468522696876,0.904768399337362,-0.7541789968499802,-1.2941504624846278,-0.1742109043304455,0,-0.3021564363632246,cloudy
2SWqVCbl51UX5xgDHvE1uT,0.9315964992202564,5,40Fmr4mXhz4PtrMAPTnoXB,Destroy Myself Just For You,Montell Fish,2.298483885495333,-1.122053908149686,-2.2545200849728295,-0.1553852625083713,-1.46621481928201,-0.5335374695965044,-2.6187484282840727,0.904768399337362,-0.8226098718564728,-2.002764714847154,-1.5278116712949033,0,-0.3589871271039098,cloudy
1dlOr60VqwO8DIGn9TLeeu,0.9168145479330284,1,5veS4mRwlc4lOsfXKdhqZD,Lobby Kall,Smino,2.472211958278753,-0.2170052912936487,-1.660285011931151,0.0774533217472461,-1.46621481928201,1.0809140731628557,-1.719156500359042,0.904768399337362,1.9679375542803816,-1.1689167719277904,0.8843743108597073,0,-0.2356566534237993,cloudy
1dlOr60VqwO8DIGn9TLeeu,0.9131085147243772,2,1GjWE4T7qZNeIy1hgm98R9,Run It Up (feat. Sleepy Hallow & A Boogie Wit Da Hoodie),"Sheff G, Sleepy Hallow, A Boogie Wit da Hoodie",1.5961789104134216,-0.5392574503257229,-0.4227495845874716,-0.3082535853490921,-1.46621481928201,-0.6838258449184123,-0.9907217148948764,0.904768399337362,0.8459894873134683,-0.8390303873821645,0.7412049989692356,0,-0.2971095589508078,cloudy
1dlOr60VqwO8DIGn9TLeeu,0.9100817141993064,3,355Kys0DoS3tQ4HavJVFAh,Gone,Moonchild,1.9251533461096857,-0.5255445924945708,-0.9788227722044552,0.0023791987863227,-1.1901834978130166,0.6740197818983013,-1.1452950757279086,0.904768399337362,2.262349458378082,-1.2991721924547728,0.3811124872447166,0,-0.3259992774610386,cloudy
1dlOr60VqwO8DIGn9TLeeu,0.895045539368529,4,4I4f2h9A98RiKkIbdcKD1J,Matte Black UFO,Marigold,1.6516240400251516,-0.1552974310534643,-1.3004729493554557,0.7797771822005221,-1.1901834978130166,-0.5597887141942175,-1.570215367248671,0.904768399337362,0.607277132639657,-1.4368914171154634,0.9711435907933264,0,-0.3922403836835546,cloudy
1dlOr60VqwO8DIGn9TLeeu,0.8891351358512781,5,7DuqCAxfOEKBfQgrnWfHrh,Mambo Italiano,Dean Martin,1.884493584394417,0.5234890315885634,-1.469475584807676,-0.3082535853490921,-1.1901834978130166,-0.8787413360564325,-1.714462977256824,0.904768399337362,0.6948049960200545,-1.4232708344567138,0.4635433031816548,0,-0.3642776867662782,cloudy
