track_id,track_name,artist_names,isrc,duration_ms,explicit,features_found,match_source,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
13HalBseZHAT19C6jWs1Ma,Probably Up,Lawrence,QM24S1832373,254653,False,1,spotify_id,0.338,0.735,0.609,3.11e-05,10.0,0.381,-5.574,1.0,0.0557,95.489,0.704
4Q9ExJGFgL9Jd9kmYH3nXs,Miss possessive,Tate McRae,USRC12403576,139098,True,1,spotify_id,0.259,0.782,0.747,1.85e-05,8.0,0.1,-4.656,1.0,0.0361,101.992,0.325
71p2ub5QJhJTzfvXbXaUXd,High No More,Hajaj,USUYG1389847,198845,False,1,spotify_id,0.0117,0.885,0.272,0.158,10.0,0.114,-11.362,0.0,0.0628,112.026,0.806
46Y9vXsmtnYZdEwny4o1Dd,Medallion,Jenevieve,GBKPL2082444,147133,True,1,spotify_id,0.164,0.772,0.474,6.53e-06,10.0,0.374,-6.791,0.0,0.0466,78.961,0.81
36GforftaCASOR8kBnhqN8,I Wasn’t There,"Kevin Abstract, DERBY",USA2P2527026,127888,False,1,spotify_id,0.207,0.619,0.532,0.0,1.0,0.438,-7.336,0.0,0.0479,159.821,0.357
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter,USUM72504446,145398,False,1,spotify_id,0.231,0.696,0.665,0.0,5.0,0.33,-4.559,1.0,0.13,89.136,0.573
1Nk1kQx3HmUaobcAu9S26f,ACTIN UP,Tommy Richman,USC4R2553047,133768,True,1,spotify_id,0.0161,0.927,0.536,0.0,1.0,0.0947,-5.245,0.0,0.0741,144.978,0.449
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike,USQX92401826,74378,False,1,spotify_id,0.13,0.578,0.509,0.734,2.0,0.344,-6.229,1.0,0.0279,119.945,0.586
3orJAvBLWveT5ruftD5KoP,More to Love,Elle Eliades,QZTB42220489,184125,False,1,spotify_id,0.428,0.451,0.299,0.000163,7.0,0.121,-11.306,1.0,0.156,79.263,0.394
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,USUM72409025,192933,True,1,spotify_id,0.216,0.572,0.455,3.88e-06,1.0,0.072,-8.078,1.0,0.134,179.787,0.597
2nFDM7uMOdPGPz37FluIob,Superficial,Lawrence,US7VG1610103,248026,True,1,spotify_id,0.567,0.674,0.502,0.0,1.0,0.11,-7.603,0.0,0.24,100.212,0.286
5lSszsPqufMetObXX3zCQU,In a Trance,Malcolm Todd,USSM12306218,83368,False,1,spotify_id,0.0961,0.878,0.636,0.265,8.0,0.0997,-4.526,0.0,0.0708,94.997,0.878
45J4avUb9Ni0bnETYaYFVJ,luther (with sza),"Kendrick Lamar, SZA",USUG12408496,177598,False,1,spotify_id,0.251,0.707,0.575,0.0,2.0,0.248,-7.546,1.0,0.125,138.008,0.576
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,USAT21700948,182693,False,1,spotify_id,0.00647,0.695,0.818,4.87e-06,5.0,0.0219,-5.379,0.0,0.0334,119.965,0.916
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"Kanye West, Syleena Johnson",USDJ20301703,223506,True,1,spotify_id,0.149,0.657,0.734,0.0,8.0,0.139,-4.832,0.0,0.484,91.03,0.434
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,USWB10201694,269000,False,1,spotify_id,0.0179,0.618,0.938,0.0,9.0,0.167,-3.442,1.0,0.0456,91.455,0.875
3qdskG3Sc6E2OddOfyBUpt,Spooky - Quinten 909 Radio Mix,"Dusty Springfield, Quinten 909",NLTH11400064,162000,False,1,spotify_id,0.0204,0.808,0.793,0.00023,4.0,0.0751,-8.1,0.0,0.0484,122.992,0.88
