track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,played_at,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,weather_hour,latitude,longitude,station_id,observation_time,weather_time_diff_seconds,temperature_c,dewpoint_c,wind_speed_m_s,wind_direction_deg,barometric_pressure_pa,visibility_m,relative_humidity,text_description,weather_label
5fX8WljoAFrmFrFqahjz4Y,Dancing In The Courthouse,Dominic Fike,track,spotify:track:5fX8WljoAFrmFrFqahjz4Y,https://api.spotify.com/v1/tracks/5fX8WljoAFrmFrFqahjz4Y,https://open.spotify.com/track/5fX8WljoAFrmFrFqahjz4Y,157563,,False,6,2026-03-12T23:15:09.735Z,1,spotify_id,163833f0-5f47-4eff-b321-748c23f70888,https://open.spotify.com/track/5fX8WljoAFrmFrFqahjz4Y,USQX92301814,0.0879,0.571,0.758,0.0,2.0,0.326,-4.518,1.0,0.065,76.503,0.723,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:12:31.435Z,0,,,,,,,,,,,,,,,,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator, Frank Ocean",track,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://open.spotify.com/track/0SA0mMXWh23raZ6xzOCU2V,253386,,True,4,2026-03-12T23:11:46.199Z,0,,,,,,,,,,,,,,,,2026-03-12 23:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,180600.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,track,spotify:track:29iva9idM6rFCPUlu7Rhxl,https://api.spotify.com/v1/tracks/29iva9idM6rFCPUlu7Rhxl,https://open.spotify.com/track/29iva9idM6rFCPUlu7Rhxl,163866,,False,3,2026-03-12T21:09:07.386Z,1,spotify_id,db5da205-56a5-4292-9c70-a89452100408,https://open.spotify.com/track/29iva9idM6rFCPUlu7Rhxl,USUG12506174,0.802,0.446,0.301,0.000164,7.0,0.105,-12.748,0.0,0.218,80.572,0.589,2026-03-12 21:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,187800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
0cJTBlSiodwtdA5vdIbHhB,Pretend Lovers,Montell Fish,track,spotify:track:0cJTBlSiodwtdA5vdIbHhB,https://api.spotify.com/v1/tracks/0cJTBlSiodwtdA5vdIbHhB,https://open.spotify.com/track/0cJTBlSiodwtdA5vdIbHhB,193671,,False,4,2026-03-12T21:06:21.141Z,1,spotify_id,fd894e20-6de1-4d1c-b8ce-174fdac5761e,https://open.spotify.com/track/0cJTBlSiodwtdA5vdIbHhB,QZVBE2200012,0.925,0.647,0.387,0.0288,8.0,0.104,-7.173,1.0,0.25,120.039,0.397,2026-03-12 21:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,187800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons,track,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,215319,,False,1,2026-03-12T20:12:35.320Z,1,spotify_id,b4a17052-dfee-4152-83b3-997b32afee02,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,USSM17801024,0.0765,0.774,0.641,0.0,1.0,0.0867,-10.193,1.0,0.0799,113.256,0.875,2026-03-12 20:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,191400.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
3lFVdFLQeBXLxqKxqwqIfS,Darlin',Jean Dawson,track,spotify:track:3lFVdFLQeBXLxqKxqwqIfS,https://api.spotify.com/v1/tracks/3lFVdFLQeBXLxqKxqwqIfS,https://open.spotify.com/track/3lFVdFLQeBXLxqKxqwqIfS,208626,,False,1,2026-03-12T17:04:03.557Z,1,spotify_id,e766c361-b5fb-4386-9d6e-7d4b335b57de,https://open.spotify.com/track/3lFVdFLQeBXLxqKxqwqIfS,QZ9H32400056,0.435,0.578,0.341,0.0403,10.0,0.14,-8.018,1.0,0.0312,145.906,0.321,2026-03-12 17:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,202200.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
1ymikhI2taCMNkmn9GO9CZ,a rose blooms in chaos,Davishmar,track,spotify:track:1ymikhI2taCMNkmn9GO9CZ,https://api.spotify.com/v1/tracks/1ymikhI2taCMNkmn9GO9CZ,https://open.spotify.com/track/1ymikhI2taCMNkmn9GO9CZ,116831,,False,1,2026-03-12T17:00:34.331Z,1,spotify_id,6e670e61-b6db-4e80-95bd-aafefb3908a8,https://open.spotify.com/track/1ymikhI2taCMNkmn9GO9CZ,DEUD42432360,0.901,0.417,0.443,0.0507,6.0,0.154,-10.882,1.0,0.0574,73.088,0.704,2026-03-12 17:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,202200.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
3uyODN4WPyhs8TJRuMfhwF,In The Morning (feat. Thundercat & Syd),"Mac Miller, Syd, Thundercat",track,spotify:track:3uyODN4WPyhs8TJRuMfhwF,https://api.spotify.com/v1/tracks/3uyODN4WPyhs8TJRuMfhwF,https://open.spotify.com/track/3uyODN4WPyhs8TJRuMfhwF,265066,,True,14,2026-03-12T16:58:37.310Z,0,,,,,,,,,,,,,,,,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,"Kendrick Lamar, George Clinton, Thundercat",track,spotify:track:7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/tracks/7Ks4VCY1wFebnOdJrM13t6,https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6,287360,,True,1,2026-03-12T16:54:11.078Z,1,spotify_id,3e07c9bc-4bbd-49a6-926f-5446b6c73fba,https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6,USUM71502491,0.359,0.509,0.787,2.76e-05,7.0,0.26,-6.754,1.0,0.265,114.449,0.507,2026-03-12 16:00:00+00:00,41.4866,-81.8037,KCLE,2026-03-15 01:10:00+00:00,205800.0,2.0,-9.0,12.96,80.0,102370.52,16093.44,43.971749191094,Cloudy,cloudy
