track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,played_at
7Ks4VCY1wFebnOdJrM13t6,Wesley's Theory,"Kendrick Lamar, George Clinton, Thundercat",track,spotify:track:7Ks4VCY1wFebnOdJrM13t6,https://api.spotify.com/v1/tracks/7Ks4VCY1wFebnOdJrM13t6,https://open.spotify.com/track/7Ks4VCY1wFebnOdJrM13t6,287360,,True,1,2026-03-12T16:54:11.078Z
4b82tXj35SycILuILcgBQ6,Hoe Cakes,MF DOOM,track,spotify:track:4b82tXj35SycILuILcgBQ6,https://api.spotify.com/v1/tracks/4b82tXj35SycILuILcgBQ6,https://open.spotify.com/track/4b82tXj35SycILuILcgBQ6,234146,,True,2,2026-03-12T16:49:52.627Z
5oHefuJW6udg0pphl5KXwN,Poo-Putt Platter,MF DOOM,track,spotify:track:5oHefuJW6udg0pphl5KXwN,https://api.spotify.com/v1/tracks/5oHefuJW6udg0pphl5KXwN,https://open.spotify.com/track/5oHefuJW6udg0pphl5KXwN,73613,,True,6,2026-03-12T16:45:28.231Z
24VNenhLzKDWDlQ5Qaznav,Dreamin,ZAYN,track,spotify:track:24VNenhLzKDWDlQ5Qaznav,https://api.spotify.com/v1/tracks/24VNenhLzKDWDlQ5Qaznav,https://open.spotify.com/track/24VNenhLzKDWDlQ5Qaznav,212213,,False,1,2026-03-12T16:44:14.680Z
6FcDxtnGfsYHOcGkXN2OIG,Add Up My Love,Clairo,track,spotify:track:6FcDxtnGfsYHOcGkXN2OIG,https://api.spotify.com/v1/tracks/6FcDxtnGfsYHOcGkXN2OIG,https://open.spotify.com/track/6FcDxtnGfsYHOcGkXN2OIG,205263,,False,8,2026-03-12T16:40:40.867Z
2pNYM3OcS7WdCW13TuhMeK,Yoshinoya,Childish Gambino,track,spotify:track:2pNYM3OcS7WdCW13TuhMeK,https://api.spotify.com/v1/tracks/2pNYM3OcS7WdCW13TuhMeK,https://open.spotify.com/track/2pNYM3OcS7WdCW13TuhMeK,202409,,True,9,2026-03-12T16:37:14.926Z
0yxOhm9EgkEDjAbXLyoObO,RUFF RIDE,"Samant, Lou Val",track,spotify:track:0yxOhm9EgkEDjAbXLyoObO,https://api.spotify.com/v1/tracks/0yxOhm9EgkEDjAbXLyoObO,https://open.spotify.com/track/0yxOhm9EgkEDjAbXLyoObO,156839,,False,1,2026-03-12T16:33:52.074Z
1sDW4P9FwNREiBNtEduDDQ,Winterfalls,Terrell Morris,track,spotify:track:1sDW4P9FwNREiBNtEduDDQ,https://api.spotify.com/v1/tracks/1sDW4P9FwNREiBNtEduDDQ,https://open.spotify.com/track/1sDW4P9FwNREiBNtEduDDQ,171365,,True,1,2026-03-12T16:31:13.491Z
7tzgX2LHRfWmRlsbSN4pQR,Royale With Cheese,"John Travolta, Samuel L. Jackson",track,spotify:track:7tzgX2LHRfWmRlsbSN4pQR,https://api.spotify.com/v1/tracks/7tzgX2LHRfWmRlsbSN4pQR,https://open.spotify.com/track/7tzgX2LHRfWmRlsbSN4pQR,103466,,True,3,2026-03-12T16:28:21.167Z
4JfpJrrGNXRj2yXm1fYV23,Lithonia,Childish Gambino,track,spotify:track:4JfpJrrGNXRj2yXm1fYV23,https://api.spotify.com/v1/tracks/4JfpJrrGNXRj2yXm1fYV23,https://open.spotify.com/track/4JfpJrrGNXRj2yXm1fYV23,179320,,True,1,2026-03-12T16:26:37.311Z
